"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction","OrthoLmjF","OrthoLdHU3"
"LmjF.20.T0860","+","LmjF.20:357436..359089","LmjF.20.0860","LmjF.20:357659..358699","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0860.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1080"
"LmjF.20.T0870","+","LmjF.20:359366..362348","LmjF.20.0870","LmjF.20:359612..361918","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0870.html"" target=""_blank""> Click for Additional information</a>","ATP-dependent RNA helicase, putative ","N/A","LDHU3_20.1090"
"LmjF.20.T0880","+","LmjF.20:362725..364180","LmjF.20.0880","LmjF.20:362947..363609","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0880.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1100"
"LmjF.20.T0890","+","LmjF.20:364556..365829","LmjF.20.0890","LmjF.20:364619..365497","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0890.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1110"
"LmjF.20.T0900","+","LmjF.20:366020..369881","LmjF.20.0900","LmjF.20:366707..369379","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0900.html"" target=""_blank""> Click for Additional information</a>","RNA editing complex protein MP90, putative ","N/A","LDHU3_20.1120"
"LmjF.20.T0910","+","LmjF.20:370168..371336","LmjF.20.0910","LmjF.20:370306..371157","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0910.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1130"
"LmjF.20.T0920","+","LmjF.20:372057..374283","LmjF.20.0920","LmjF.20:372193..373980","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0920.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1140"
"LmjF.20.T0930","+","LmjF.20:374609..381523","LmjF.20.0930","LmjF.20:375108..381386","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0930.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1150"
"LmjF.20.T0115","-","LmjF.20:37572..38897","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0115.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T0940","+","LmjF.20:381924..383826","LmjF.20.0940","LmjF.20:381909..383297","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.20.T0940.html"" target=""_blank""> Click for Additional information</a>","cyclophilin 15, putative (CYP15) ","N/A","LDHU3_20.1160"
"LmjF.20.T0950","+","LmjF.20:384346..387335","LmjF.20.0950","LmjF.20:384615..386726","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0950.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1170"
"LmjF.20.T0955","+","LmjF.20:387758..388253","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0955.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T0960","+","LmjF.20:388811..401566","LmjF.20.0960","LmjF.20:391009..401331","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0960.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative ","N/A","LDHU3_20.1200"
"LmjF.20.T0120","-","LmjF.20:39325..41675","LmjF.20.0120","LmjF.20:39879..41549","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0150"
"LmjF.20.T0962","+","LmjF.20:401567..403329","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0962.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T0970","+","LmjF.20:403683..406097","LmjF.20.0970","LmjF.20:403948..404982","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0970.html"" target=""_blank""> Click for Additional information</a>","1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative ","N/A","LDHU3_20.1210"
"LmjF.20.T0980","+","LmjF.20:406323..408936","LmjF.20.0980","LmjF.20:406386..408464","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0980.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1220"
"LmjF.20.T0990","+","LmjF.20:409247..411758","LmjF.20.0990","LmjF.20:409525..411039","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0990.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1230"
"LmjF.20.T0995","+","LmjF.20:409247..413288","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0995.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1000","+","LmjF.20:413289..416371","LmjF.20.1000","LmjF.20:413591..415759","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1000.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1250"
"LmjF.20.T0130","-","LmjF.20:41640..44205","LmjF.20.0130","LmjF.20:42528..43862","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0160"
"LmjF.20.T1010","+","LmjF.20:416642..417641","LmjF.20.1010","LmjF.20:416729..417052","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1010.html"" target=""_blank""> Click for Additional information</a>","glutaredoxin, putative ","N/A","LDHU3_20.1260"
"LmjF.20.T1020","+","LmjF.20:417848..425582","LmjF.20.1020","LmjF.20:419108..422170","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1270"
"LmjF.20.T1025","+","LmjF.20:425694..427345","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1025.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1027","+","LmjF.20:427552..428425","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1027.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1030","+","LmjF.20:428713..430533","LmjF.20.1030","LmjF.20:429605..430258","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1030.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1290"
"LmjF.20.T1032","+","LmjF.20:430534..432906","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1032.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1035","+","LmjF.20:433297..434728","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1035.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1040","+","LmjF.20:434941..440872","LmjF.20.1040","LmjF.20:435319..437997","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1310"
"LmjF.20.T1042","+","LmjF.20:441199..445155","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1042.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T0140","-","LmjF.20:44529..49610","LmjF.20.0140","LmjF.20:45714..49373","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0170"
"LmjF.20.T1045","+","LmjF.20:445768..446880","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1045.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1050","+","LmjF.20:447054..452837","LmjF.20.1050","LmjF.20:447450..450290","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1050.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1320"
"LmjF.20.T1055","+","LmjF.20:453032..455339","LmjF.20.1055","LmjF.20:453168..454655","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1055.html"" target=""_blank""> Click for Additional information</a>","CMP-sialic acid transporter, putative","N/A","N/A"
"LmjF.20.T1060","+","LmjF.20:455609..461627","LmjF.20.1060","LmjF.20:455966..459814","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1340"
"LmjF.20.T1070","+","LmjF.20:462139..464412","LmjF.20.1070","LmjF.20:463240..464115","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1350"
"LmjF.20.T1080","+","LmjF.20:464809..472999","LmjF.20.1080","LmjF.20:465477..472799","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1360"
"LmjF.20.T1090","+","LmjF.20:473396..480953","LmjF.20.1090","LmjF.20:474838..480723","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1370"
"LmjF.20.T1100","+","LmjF.20:481356..488196","LmjF.20.1100","LmjF.20:482224..488070","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1380"
"LmjF.20.T1110","+","LmjF.20:488521..495872","LmjF.20.1110","LmjF.20:489022..492456","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1110.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1390"
"LmjF.20.T1115","+","LmjF.20:496341..496654","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1115.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1118","+","LmjF.20:497000..497628","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1118.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1120","+","LmjF.20:497629..508066","LmjF.20.1120","LmjF.20:497845..507684","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1120.html"" target=""_blank""> Click for Additional information</a>","phosphatidylinositol 3-kinase, putative ","N/A","LDHU3_20.1410"
"LmjF.20.T0150","-","LmjF.20:50033..54287","LmjF.20.0150","LmjF.20:51369..54095","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein ","N/A","LDHU3_20.0180"
"LmjF.20.T1125","+","LmjF.20:508375..509149","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1125.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1130","+","LmjF.20:509607..511943","LmjF.20.1130","LmjF.20:509722..511683","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1130.html"" target=""_blank""> Click for Additional information</a>","DNAj-like protein ","N/A","LDHU3_20.1420"
"LmjF.20.T1140","+","LmjF.20:512485..513993","LmjF.20.1140","LmjF.20:512677..513639","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1430"
"LmjF.20.T1150","+","LmjF.20:514343..515364","LmjF.20.1150","LmjF.20:514494..515303","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1440"
"LmjF.20.T1160","+","LmjF.20:515642..517105","LmjF.20.1160","LmjF.20:515922..516821","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1450"
"LmjF.20.T1170","+","LmjF.20:517278..521507","LmjF.20.1170","LmjF.20:517696..518955","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1170.html"" target=""_blank""> Click for Additional information</a>","endo-1,4-beta-xylanase z precursor-like protein ","N/A","N/A"
"LmjF.20.T1175-ncRNA1","+","LmjF.20:521508..523612","LmjF.20.1175","LmjF.20:522121..523320","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1175-ncRNA1.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein","N/A","N/A"
"LmjF.20.T1176","0","LmjF.20:526777..526994","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1176.html"" target=""_blank""> Click for Additional information</a>","N/A","N/A","N/A"
"LmjF.20.T1178","+","LmjF.20:527085..530744","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1178.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1180","+","LmjF.20:531009..536291","LmjF.20.1180","LmjF.20:531127..534057","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1180.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, putative ","N/A","LDHU3_20.1510"
"LmjF.20.T1185","+","LmjF.20:536623..541146","LmjF.20.1185","LmjF.20:536865..539336","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1185.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, putative ","N/A","LDHU3_20.1530"
"LmjF.20.T1190","+","LmjF.20:541612..546444","LmjF.20.1190","LmjF.20:541963..544026","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1190.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, putative ","N/A","LDHU3_20.1540"
"LmjF.20.T1200","+","LmjF.20:546878..552367","LmjF.20.1200","LmjF.20:548104..550335","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1200.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, putative ","N/A","LDHU3_20.1550"
"LmjF.20.T0160","-","LmjF.20:54706..58230","LmjF.20.0160","LmjF.20:55778..58195","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0190"
"LmjF.20.T1210","+","LmjF.20:552368..557258","LmjF.20.1210","LmjF.20:555012..556256","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1210.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, putative ","N/A","LDHU3_20.1560"
"LmjF.20.T1220","+","LmjF.20:557555..560290","LmjF.20.1220","LmjF.20:557906..558346","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1220.html"" target=""_blank""> Click for Additional information</a>","calpain-like cysteine peptidase, Clan CA, family C2 ","N/A","LDHU3_20.1570"
"LmjF.20.T1230","+","LmjF.20:560717..564110","LmjF.20.1230","LmjF.20:561022..561423","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1230.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1580"
"LmjF.20.T1240","+","LmjF.20:564406..573423","LmjF.20.1240","LmjF.20:564823..573093","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1240.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1590"
"LmjF.20.T1250","+","LmjF.20:573684..577193","LmjF.20.1250","LmjF.20:574520..575230","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1250.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1600"
"LmjF.20.T1260","+","LmjF.20:577594..582610","LmjF.20.1260","LmjF.20:578399..580933","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1260.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1610"
"LmjF.20.T1270","+","LmjF.20:582998..585808","LmjF.20.1270","LmjF.20:583251..583820","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1270.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1630"
"LmjF.20.T1280","+","LmjF.20:586249..589642","LmjF.20.1280","LmjF.20:586537..586995","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1280.html"" target=""_blank""> Click for Additional information</a>","small myristoylated protein 4, putative (SMP-4) ","N/A","N/A"
"LmjF.20.T0170","-","LmjF.20:58665..60397","LmjF.20.0170","LmjF.20:59099..60121","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0200"
"LmjF.20.T1290","+","LmjF.20:590225..591699","LmjF.20.1290","LmjF.20:590424..591266","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1290.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1650"
"LmjF.20.T1295","+","LmjF.20:592111..593542","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1295.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1300","+","LmjF.20:593836..595692","LmjF.20.1300","LmjF.20:594049..594459","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1300.html"" target=""_blank""> Click for Additional information</a>","small myristoylated protein-2 (SMP-2) ","N/A","LDHU3_20.1670"
"LmjF.20.T1310","+","LmjF.20:596199..600855","LmjF.20.1310","LmjF.20:596447..596842","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1310.html"" target=""_blank""> Click for Additional information</a>","small myristoylated protein-1 (SMP-1) ","N/A","LDHU3_20.1680"
"LmjF.20.T1320","+","LmjF.20:601404..603156","LmjF.20.1320","LmjF.20:601836..602888","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1320.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1690"
"LmjF.20.T1325","+","LmjF.20:603761..604843","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1325.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1330","+","LmjF.20:604894..607796","LmjF.20.1330","LmjF.20:605434..606588","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1330.html"" target=""_blank""> Click for Additional information</a>","kinase-like protein ","N/A","LDHU3_20.1710"
"LmjF.20.T1340","+","LmjF.20:608207..611752","LmjF.20.1340","LmjF.20:608417..609361","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1340.html"" target=""_blank""> Click for Additional information</a>","kinase-like protein ","N/A","LDHU3_20.1730"
"LmjF.20.T0180","-","LmjF.20:60857..64268","LmjF.20.0180","LmjF.20:61266..63854","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0180.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0210"
"LmjF.20.T1350","+","LmjF.20:611962..615787","LmjF.20.1350","LmjF.20:612247..615246","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1350.html"" target=""_blank""> Click for Additional information</a>","coatomer beta subunit, putative ","N/A","LDHU3_20.1750"
"LmjF.20.T0020","-","LmjF.20:6125..7646","LmjF.20.0020","LmjF.20:6340..7572","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0030"
"LmjF.20.T1360","+","LmjF.20:616354..617803","LmjF.20.1360","LmjF.20:616414..617634","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1360.html"" target=""_blank""> Click for Additional information</a>","RNasePH-like protein ","N/A","LDHU3_20.1760"
"LmjF.20.T1365","+","LmjF.20:618259..622254","LmjF.20.1365","LmjF.20:619698..621119","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1365.html"" target=""_blank""> Click for Additional information</a>","pumillio protein 9, putative (PUF9A) ","N/A","LDHU3_20.1770"
"LmjF.20.T1367","+","LmjF.20:622853..624918","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1367.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1370","+","LmjF.20:625348..629393","LmjF.20.1370","LmjF.20:626571..627860","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1370.html"" target=""_blank""> Click for Additional information</a>","pumilio protein 9, putative (PUF9B) ","N/A","LDHU3_20.1790"
"LmjF.20.T1380","+","LmjF.20:629756..634439","LmjF.20.1380","LmjF.20:630348..634112","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1380.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1800"
"LmjF.20.T1390","+","LmjF.20:634789..637032","LmjF.20.1390","LmjF.20:635308..636621","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1390.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1810"
"LmjF.20.T1400","+","LmjF.20:637259..639677","LmjF.20.1400","LmjF.20:637468..639000","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1400.html"" target=""_blank""> Click for Additional information</a>","axoneme central apparatus protein, putative ","N/A","LDHU3_20.1820"
"LmjF.20.T1405","+","LmjF.20:639678..640065","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1405.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1410","+","LmjF.20:640497..644135","LmjF.20.1410","LmjF.20:641102..643897","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1410.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1830"
"LmjF.20.T1420","+","LmjF.20:644366..648955","LmjF.20.1420","LmjF.20:644883..648560","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1420.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1840"
"LmjF.20.T0190","-","LmjF.20:64686..65549","LmjF.20.0190","LmjF.20:64903..65511","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0190.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.0220"
"LmjF.20.T1425","+","LmjF.20:648956..650643","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1425.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1430","+","LmjF.20:650872..652381","LmjF.20.1430","LmjF.20:651116..652138","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1430.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1850"
"LmjF.20.T1440","+","LmjF.20:652956..653903","LmjF.20.1440","LmjF.20:653056..653493","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1440.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1860"
"LmjF.20.T1450","+","LmjF.20:654185..655825","LmjF.20.1450","LmjF.20:654522..655703","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1450.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1870"
"LmjF.20.T1460","-","LmjF.20:656273..658101","LmjF.20.1460","LmjF.20:657201..658244","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.20.T1460.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1880"
"LmjF.20.T1470","-","LmjF.20:658447..660543","LmjF.20.1470","LmjF.20:658594..660339","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1470.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_20.1890"
"LmjF.20.T0200","-","LmjF.20:65911..68926","LmjF.20.0200","LmjF.20:66093..68681","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0200.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.0230"
"LmjF.20.T1475","-","LmjF.20:660935..662333","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T1475.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.20.T1480","-","LmjF.20:662612..665833","LmjF.20.1480","LmjF.20:662734..665700","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1480.html"" target=""_blank""> Click for Additional information</a>","zinc-binding phosphatase, putative ","N/A","LDHU3_20.1910"
"LmjF.20.T1490","-","LmjF.20:666283..669714","LmjF.20.1490","LmjF.20:666656..669556","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1490.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1920"
"LmjF.20.T1500","-","LmjF.20:670032..673240","LmjF.20.1500","LmjF.20:670191..673052","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1500.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1930"
"LmjF.20.T1510","-","LmjF.20:673568..680537","LmjF.20.1510","LmjF.20:673816..680148","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1510.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1940"
"LmjF.20.T1520","-","LmjF.20:680991..686525","LmjF.20.1520","LmjF.20:681380..686134","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T1520.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_20.1950"
