"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction"
"LmjF.19.T1000","+","LmjF.19:575904..580168","LmjF.19.1000","LmjF.19:577449..579524","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1000.html"" target=""_blank""> Click for Additional information</a>","glycerol uptake protein, putative "
"LmjF.19.T1005","+","LmjF.19:413840..418975","LmjF.19.1005","LmjF.19:415486..417297","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1005.html"" target=""_blank""> Click for Additional information</a>","4-coumarate:coa ligase-like protein "
"LmjF.19.T1008","+","LmjF.19:419451..419612","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1008.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1010","+","LmjF.19:420202..423943","LmjF.19.1010","LmjF.19:420285..422729","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1010.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1020","+","LmjF.19:424344..427039","LmjF.19.1020","LmjF.19:425027..426604","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1020.html"" target=""_blank""> Click for Additional information</a>","tRNA pseudouridine synthase A-like protein "
"LmjF.19.T1030","+","LmjF.19:427401..428894","LmjF.19.1030","LmjF.19:427806..428666","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1030.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1040","+","LmjF.19:429344..432681","LmjF.19.1040","LmjF.19:429585..431486","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1040.html"" target=""_blank""> Click for Additional information</a>","phenylalanyl-tRNA synthetase, putative "
"LmjF.19.T1050","+","LmjF.19:432996..437972","LmjF.19.1050","LmjF.19:434179..437829","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1050.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1060","+","LmjF.19:438268..446343","LmjF.19.1060","LmjF.19:439238..442990","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1070","+","LmjF.19:446859..451994","LmjF.19.1070","LmjF.19:448187..451087","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1080","+","LmjF.19:452214..464869","LmjF.19.1080","LmjF.19:452837..464140","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1090","+","LmjF.19:464870..467041","LmjF.19.1090","LmjF.19:464525..465175","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.19.T1090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1100","+","LmjF.19:467208..472629","LmjF.19.1100","LmjF.19:467402..471358","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1110","+","LmjF.19:473124..475083","LmjF.19.1110","LmjF.19:473622..474656","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1110.html"" target=""_blank""> Click for Additional information</a>","mitochondrial carrier protein, putative "
"LmjF.19.T1120","+","LmjF.19:475521..477820","LmjF.19.1120","LmjF.19:475861..477099","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1120.html"" target=""_blank""> Click for Additional information</a>","proteasome regulatory non-ATP-ase subunit, putative "
"LmjF.19.T1130","+","LmjF.19:478114..496936","LmjF.19.1130","LmjF.19:479354..496624","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1140","+","LmjF.19:497300..501526","LmjF.19.1140","LmjF.19:497804..500266","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1150","+","LmjF.19:501865..511307","LmjF.19.1150","LmjF.19:501989..509959","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1160","+","LmjF.19:511577..514897","LmjF.19.1160","LmjF.19:511678..512787","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1170","+","LmjF.19:515202..519471","LmjF.19.1170","LmjF.19:515680..518466","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1180","+","LmjF.19:519721..525692","LmjF.19.1180","LmjF.19:520001..525160","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1180.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1190","+","LmjF.19:526006..527365","LmjF.19.1190","LmjF.19:526132..526524","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1190.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1200","+","LmjF.19:527660..529902","LmjF.19.1200","LmjF.19:528108..529286","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1200.html"" target=""_blank""> Click for Additional information</a>","actin-related protein 2, putative "
"LmjF.19.T1210","+","LmjF.19:530257..531350","LmjF.19.1210","LmjF.19:530299..530928","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1210.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1220","+","LmjF.19:531887..533330","LmjF.19.1220","LmjF.19:532093..532791","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1220.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1225","+","LmjF.19:533649..534267","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1225.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1230","+","LmjF.19:534655..536460","LmjF.19.1230","LmjF.19:535118..536143","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1230.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1235","+","LmjF.19:536930..538199","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1235.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1240","+","LmjF.19:538551..544692","LmjF.19.1240","LmjF.19:538407..544130","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.19.T1240.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1250","+","LmjF.19:545038..547597","LmjF.19.1250","LmjF.19:545331..546716","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1250.html"" target=""_blank""> Click for Additional information</a>","peroxin 12, putative (PEX12) "
"LmjF.19.T1260","+","LmjF.19:547930..548644","LmjF.19.1260","LmjF.19:548010..548525","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1260.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1270","+","LmjF.19:549059..550082","LmjF.19.1270","LmjF.19:549181..549864","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1270.html"" target=""_blank""> Click for Additional information</a>","RNA binding protein, putative "
"LmjF.19.T1280","+","LmjF.19:550420..552446","LmjF.19.1280","LmjF.19:550614..551447","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1280.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1290","+","LmjF.19:553034..555587","LmjF.19.1290","LmjF.19:553426..554277","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1290.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1300","+","LmjF.19:555846..559954","LmjF.19.1300","LmjF.19:556026..558581","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1300.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1305","+","LmjF.19:559955..561476","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1305.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1310","+","LmjF.19:561686..565613","LmjF.19.1310","LmjF.19:562030..564960","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1310.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1311","+","LmjF.19:565614..566548","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1311.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1312","+","LmjF.19:566549..570157","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1312.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1315","+","LmjF.19:570158..571574","LmjF.19.1315","LmjF.19:570529..570897","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1315.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1320","+","LmjF.19:571929..575535","LmjF.19.1320","LmjF.19:573342..574478","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1320.html"" target=""_blank""> Click for Additional information</a>","glycerol uptake protein, putative "
"LmjF.19.T1325","+","LmjF.19:580169..580929","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1325.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1327","+","LmjF.19:580930..581742","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1327.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1330","+","LmjF.19:581743..584467","LmjF.19.1330","LmjF.19:582056..584287","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1330.html"" target=""_blank""> Click for Additional information</a>","glycerol uptake protein, putative "
"LmjF.19.T1338","+","LmjF.19:584797..585326","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1338.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1340","+","LmjF.19:585327..587855","LmjF.19.1340","LmjF.19:585332..587665","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1340.html"" target=""_blank""> Click for Additional information</a>","glycerol uptake protein, putative "
"LmjF.19.T1344","+","LmjF.19:588174..588501","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1344.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1345","+","LmjF.19:588704..592931","LmjF.19.1345","LmjF.19:588709..591042","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1345.html"" target=""_blank""> Click for Additional information</a>","glycerol uptake protein, putative "
"LmjF.19.T1347","+","LmjF.19:593752..600768","LmjF.19.1347","LmjF.19:594063..596267","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1347.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1350","+","LmjF.19:601155..603537","LmjF.19.1350","LmjF.19:601406..602608","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1350.html"" target=""_blank""> Click for Additional information</a>","phosphatidic acid phosphatase protein-like protein "
"LmjF.19.T1360","+","LmjF.19:603926..605743","LmjF.19.1360","LmjF.19:604141..604407","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1360.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1365","+","LmjF.19:606087..608011","LmjF.19.1365","LmjF.19:606150..606524","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1365.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1370","+","LmjF.19:608293..611362","LmjF.19.1370","LmjF.19:608807..611029","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1370.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1375","+","LmjF.19:611614..613954","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1375.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1380","+","LmjF.19:613955..616810","LmjF.19.1380","LmjF.19:614431..616272","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1380.html"" target=""_blank""> Click for Additional information</a>","cation transporter, putative "
"LmjF.19.T1390","+","LmjF.19:617227..618638","LmjF.19.1390","LmjF.19:617410..618291","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1390.html"" target=""_blank""> Click for Additional information</a>","transcription initiation factor-like protein (TFIID-like protein) "
"LmjF.19.T1400","+","LmjF.19:619038..620377","LmjF.19.1400","LmjF.19:619135..619821","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1400.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1405","+","LmjF.19:620719..621485","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1405.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1410","+","LmjF.19:621833..625350","LmjF.19.1410","LmjF.19:622062..624863","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1410.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1420","+","LmjF.19:625670..627642","LmjF.19.1420","LmjF.19:626007..627071","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1420.html"" target=""_blank""> Click for Additional information</a>","cysteine peptidase A (CPA) (CPA) "
"LmjF.19.T1421","+","LmjF.19:627913..628270","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1421.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1423",".","LmjF.19:629152..629769","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1423.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1425","+","LmjF.19:635836..636315","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1425.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1430","+","LmjF.19:636316..637442","LmjF.19.1430","LmjF.19:636343..637440","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1430.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1440","+","LmjF.19:637693..639005","LmjF.19.1440","LmjF.19:637726..638817","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1440.html"" target=""_blank""> Click for Additional information</a>","mitogen activated protein kinase 4, putative (MPK4) "
"LmjF.19.T1450","+","LmjF.19:639103..640993","LmjF.19.1450","LmjF.19:639197..640951","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1450.html"" target=""_blank""> Click for Additional information</a>","oxidoreductase-like protein "
"LmjF.19.T1455","+","LmjF.19:641234..641874","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1455.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1460","+","LmjF.19:642096..642657","LmjF.19.1460","LmjF.19:642162..642512","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1460.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1470","+","LmjF.19:642934..646796","LmjF.19.1470","LmjF.19:643312..645177","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1470.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative "
"LmjF.19.T1480","+","LmjF.19:647089..648391","LmjF.19.1480","LmjF.19:647294..648139","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1480.html"" target=""_blank""> Click for Additional information</a>","eukaryotic translation initiation factor-like protein "
"LmjF.19.T1485","+","LmjF.19:648776..650135","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1485.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1490","+","LmjF.19:650404..652402","LmjF.19.1490","LmjF.19:650636..651601","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1490.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1500","+","LmjF.19:652697..654003","LmjF.19.1500","LmjF.19:652902..653747","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1500.html"" target=""_blank""> Click for Additional information</a>","eukaryotic translation initiation factor 4e, putative "
"LmjF.19.T1505","+","LmjF.19:654384..655739","LmjF.19.1505","LmjF.19:654530..654874","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1505.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1510","+","LmjF.19:656011..661119","LmjF.19.1510","LmjF.19:656243..657208","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1510.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1520","+","LmjF.19:661465..664965","LmjF.19.1520","LmjF.19:662222..664579","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1520.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1530","+","LmjF.19:665319..667253","LmjF.19.1530","LmjF.19:665676..666974","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1530.html"" target=""_blank""> Click for Additional information</a>","FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative "
"LmjF.19.T1535","+","LmjF.19:667822..671230","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1535.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1540","+","LmjF.19:671379..674306","LmjF.19.1540","LmjF.19:671472..674069","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1540.html"" target=""_blank""> Click for Additional information</a>","choline/Carnitine o-acyltransferase-like protein "
"LmjF.19.T1550","+","LmjF.19:674758..677186","LmjF.19.1550","LmjF.19:675106..676311","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1550.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1560","+","LmjF.19:677492..680913","LmjF.19.1560","LmjF.19:677747..679291","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1560.html"" target=""_blank""> Click for Additional information</a>","'inosine-5''-monophosphate dehydrogenase '"
"LmjF.19.T1570","+","LmjF.19:681132..682514","LmjF.19.1570","LmjF.19:681346..682092","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1570.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1580","+","LmjF.19:682830..684366","LmjF.19.1580","LmjF.19:682990..684174","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1580.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1590","+","LmjF.19:684857..687196","LmjF.19.1590","LmjF.19:685156..686952","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1590.html"" target=""_blank""> Click for Additional information</a>","ATP-dependent zinc metallopeptidase, putative "
"LmjF.19.T1600","+","LmjF.19:687645..688511","LmjF.19.1600","LmjF.19:687785..688285","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1600.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.19.T1610","+","LmjF.19:688955..690046","LmjF.19.1610","LmjF.19:689207..690043","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1610.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative "
"LmjF.19.T1620","+","LmjF.19:690473..691533","LmjF.19.1620","LmjF.19:690512..691438","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1620.html"" target=""_blank""> Click for Additional information</a>","potassium voltage-gated channel, putative "
"LmjF.19.T1630","+","LmjF.19:691764..693473","LmjF.19.1630","LmjF.19:691997..692374","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1630.html"" target=""_blank""> Click for Additional information</a>","ATG8/AUT7/APG8/PAZ2, putative (ATG8) "
"LmjF.19.T1635","+","LmjF.19:693445..693722","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1635.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1640","+","LmjF.19:696517..699604","LmjF.19.1640","LmjF.19:696598..698619","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1640.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.19.T1645","+","LmjF.19:700036..703030","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.19.T1645.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.19.T1650","+","LmjF.19:703362..706314","LmjF.19.1650","LmjF.19:703592..705391","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.19.T1650.html"" target=""_blank""> Click for Additional information</a>","GIPL galf transferase, putative (LPG1G2) "
"LmjF.20.T0005",".","LmjF.20:2..1894","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0005.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.20.T0010","-","LmjF.20:2250..5736","LmjF.20.0010","LmjF.20:2300..5698","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0010.html"" target=""_blank""> Click for Additional information</a>","DNA-directed RNA polymerase polypeptide, putative "
"LmjF.20.T0020","-","LmjF.20:6125..7646","LmjF.20.0020","LmjF.20:6340..7572","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0030","-","LmjF.20:8045..9442","LmjF.20.0030","LmjF.20:8574..9413","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0030.html"" target=""_blank""> Click for Additional information</a>","histone-lysine N-methyltransferase, putative (DOT1) "
"LmjF.20.T0035","-","LmjF.20:9774..11615","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0035.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.20.T0040","-","LmjF.20:11873..13380","LmjF.20.0040","LmjF.20:12206..13177","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0050","-","LmjF.20:13871..15618","LmjF.20.0050","LmjF.20:14636..15112","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0050.html"" target=""_blank""> Click for Additional information</a>","anti-silencing protein asf 1-like protein "
"LmjF.20.T0060","-","LmjF.20:16015..19791","LmjF.20.0060","LmjF.20:16100..19597","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0060.html"" target=""_blank""> Click for Additional information</a>","DNA repair protein BRCA2, putative "
"LmjF.20.T0070","-","LmjF.20:19954..21497","LmjF.20.0070","LmjF.20:20661..21272","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0080","-","LmjF.20:21823..24888","LmjF.20.0080","LmjF.20:22912..24927","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.20.T0080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0090","-","LmjF.20:25207..30819","LmjF.20.0090","LmjF.20:27027..30359","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0098","-","LmjF.20:31172..31531","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0098.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.20.T0100","-","LmjF.20:31532..34633","LmjF.20.0100","LmjF.20:32976..34415","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0100.html"" target=""_blank""> Click for Additional information</a>","phosphoglycerate kinase C, glycosomal (PGKC) "
"LmjF.20.T0110","-","LmjF.20:35095..37153","LmjF.20.0110","LmjF.20:35830..37083","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0110.html"" target=""_blank""> Click for Additional information</a>","phosphoglycerate kinase B, cytosolic (PGKB) "
"LmjF.20.T0115","-","LmjF.20:37572..38897","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.20.T0115.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.20.T0120","-","LmjF.20:39325..41675","LmjF.20.0120","LmjF.20:39879..41549","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0130","-","LmjF.20:41640..44205","LmjF.20.0130","LmjF.20:42528..43862","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0140","-","LmjF.20:44529..49610","LmjF.20.0140","LmjF.20:45714..49373","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0150","-","LmjF.20:50033..54287","LmjF.20.0150","LmjF.20:51369..54095","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein "
"LmjF.20.T0160","-","LmjF.20:54706..58230","LmjF.20.0160","LmjF.20:55778..58195","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.20.T0170","-","LmjF.20:58665..60397","LmjF.20.0170","LmjF.20:59099..60121","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.20.T0170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
